Catégorie : Toutes catégories

Semaine,Kerry Washington: (États-Unis)
2022-11-20,9
2022-11-27,7
2022-12-04,7
2022-12-11,8
2022-12-18,8
2022-12-25,11
2023-01-01,8
2023-01-08,8
2023-01-15,11
2023-01-22,8
2023-01-29,9
2023-02-05,9
2023-02-12,9
2023-02-19,13
2023-02-26,15
2023-03-05,36
2023-03-12,38
2023-03-19,23
2023-03-26,17
2023-04-02,12
2023-04-09,16
2023-04-16,13
2023-04-23,12
2023-04-30,13
2023-05-07,10
2023-05-14,10
2023-05-21,11
2023-05-28,11
2023-06-04,9
2023-06-11,8
2023-06-18,9
2023-06-25,10
2023-07-02,12
2023-07-09,10
2023-07-16,10
2023-07-23,10
2023-07-30,10
2023-08-06,8
2023-08-13,9
2023-08-20,9
2023-08-27,6
2023-09-03,8
2023-09-10,8
2023-09-17,26
2023-09-24,100
2023-10-01,40
2023-10-08,21
2023-10-15,19
2023-10-22,14
2023-10-29,15
2023-11-05,11
