Catégorie : Toutes catégories

Semaine,David Van Horn: (États-Unis)
2022-11-06,0
2022-11-13,100
2022-11-20,0
2022-11-27,21
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,0
2023-01-22,27
2023-01-29,0
2023-02-05,0
2023-02-12,58
2023-02-19,0
2023-02-26,0
2023-03-05,47
2023-03-12,43
2023-03-19,54
2023-03-26,52
2023-04-02,31
2023-04-09,33
2023-04-16,39
2023-04-23,38
2023-04-30,35
2023-05-07,0
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,73
2023-06-18,0
2023-06-25,0
2023-07-02,38
2023-07-09,0
2023-07-16,0
2023-07-23,75
2023-07-30,0
2023-08-06,0
2023-08-13,69
2023-08-20,0
2023-08-27,0
2023-09-03,24
2023-09-10,0
2023-09-17,0
2023-09-24,25
2023-10-01,59
2023-10-08,0
2023-10-15,48
2023-10-22,0
